CMDLINE c:\users\ialrazi\powersynth\cornerstitch_dev\powercad-full\venv_64bit\scripts\python.exe powercad\recursive_suite\perf_test.py
MEM 1.660156 1571608162.0520
MEM 13.796875 1571608162.1530
MEM 21.042969 1571608162.2530
MEM 29.015625 1571608162.3530
MEM 36.597656 1571608162.4540
MEM 45.449219 1571608162.5540
MEM 53.222656 1571608162.6540
MEM 53.664062 1571608162.7540
MEM 61.941406 1571608162.8550
MEM 63.417969 1571608162.9550
MEM 72.046875 1571608163.0560
MEM 77.542969 1571608163.1560
MEM 85.550781 1571608163.2560
MEM 90.480469 1571608163.3560
MEM 90.039062 1571608163.4570
MEM 90.835938 1571608163.5570
MEM 90.375000 1571608163.6570
MEM 89.617188 1571608163.7580
MEM 90.546875 1571608163.8580
MEM 90.882812 1571608163.9590
MEM 90.187500 1571608164.0590
MEM 89.851562 1571608164.1600
MEM 89.765625 1571608164.2600
MEM 99.261719 1571608164.3610
MEM 105.296875 1571608164.4620
MEM 114.121094 1571608164.5620
MEM 126.628906 1571608164.6620
MEM 132.613281 1571608164.7630
MEM 135.718750 1571608164.8630
MEM 139.707031 1571608164.9630
MEM 145.738281 1571608165.0630
MEM 148.625000 1571608165.1640
MEM 149.078125 1571608165.2640
MEM 149.078125 1571608165.3640
MEM 149.078125 1571608165.4650
MEM 149.078125 1571608165.5650
MEM 149.078125 1571608165.6650
MEM 149.078125 1571608165.7650
MEM 149.078125 1571608165.8660
MEM 149.078125 1571608165.9660
MEM 149.078125 1571608166.0670
MEM 149.078125 1571608166.1670
MEM 149.078125 1571608166.2670
MEM 149.078125 1571608166.3680
MEM 149.078125 1571608166.4680
MEM 149.078125 1571608166.5680
MEM 149.078125 1571608166.6680
MEM 149.078125 1571608166.7690
MEM 149.078125 1571608166.8690
MEM 149.078125 1571608166.9700
MEM 149.078125 1571608167.0700
MEM 149.078125 1571608167.1700
MEM 149.078125 1571608167.2700
MEM 149.078125 1571608167.3710
MEM 149.078125 1571608167.4720
MEM 149.078125 1571608167.5720
MEM 149.078125 1571608167.6730
MEM 149.078125 1571608167.7730
MEM 149.078125 1571608167.8730
MEM 149.078125 1571608167.9730
MEM 149.078125 1571608168.0740
MEM 149.078125 1571608168.1740
MEM 149.078125 1571608168.2740
MEM 149.078125 1571608168.3740
MEM 149.078125 1571608168.4750
MEM 149.078125 1571608168.5750
MEM 149.078125 1571608168.6750
MEM 149.078125 1571608168.7750
MEM 149.078125 1571608168.8760
MEM 149.078125 1571608168.9770
MEM 149.078125 1571608169.0770
MEM 149.078125 1571608169.1780
MEM 149.078125 1571608169.2790
MEM 149.078125 1571608169.3790
MEM 149.078125 1571608169.4790
MEM 149.078125 1571608169.5800
MEM 149.078125 1571608169.6800
MEM 149.078125 1571608169.7810
MEM 149.078125 1571608169.8810
MEM 149.078125 1571608169.9810
MEM 149.078125 1571608170.0820
MEM 149.078125 1571608170.1820
MEM 149.078125 1571608170.2820
MEM 149.078125 1571608170.3830
MEM 149.078125 1571608170.4830
MEM 149.078125 1571608170.5830
MEM 149.078125 1571608170.6840
MEM 149.078125 1571608170.7840
MEM 149.078125 1571608170.8850
MEM 149.078125 1571608170.9850
MEM 149.078125 1571608171.0850
MEM 149.078125 1571608171.1860
MEM 149.078125 1571608171.2870
MEM 149.078125 1571608171.3870
MEM 149.078125 1571608171.4880
MEM 149.078125 1571608171.5890
MEM 149.078125 1571608171.6890
MEM 149.078125 1571608171.7900
MEM 149.078125 1571608171.8900
MEM 149.078125 1571608171.9910
MEM 149.078125 1571608172.0910
MEM 149.078125 1571608172.1920
MEM 149.078125 1571608172.2920
MEM 149.078125 1571608172.3930
MEM 149.078125 1571608172.4930
MEM 149.078125 1571608172.5940
MEM 149.078125 1571608172.6950
MEM 149.078125 1571608172.7950
MEM 149.078125 1571608172.8960
MEM 149.078125 1571608172.9960
MEM 149.078125 1571608173.0960
MEM 149.078125 1571608173.1960
MEM 149.078125 1571608173.2980
MEM 149.078125 1571608173.3980
MEM 149.078125 1571608173.4980
MEM 149.078125 1571608173.5980
MEM 149.078125 1571608173.6990
MEM 149.078125 1571608173.7990
MEM 149.078125 1571608173.9000
MEM 149.078125 1571608174.0000
MEM 149.078125 1571608174.1000
MEM 149.078125 1571608174.2010
MEM 149.078125 1571608174.3010
MEM 149.078125 1571608174.4010
MEM 149.078125 1571608174.5010
MEM 149.078125 1571608174.6020
MEM 149.078125 1571608174.7020
MEM 149.078125 1571608174.8020
MEM 149.078125 1571608174.9020
MEM 149.078125 1571608175.0030
MEM 149.078125 1571608175.1030
MEM 149.078125 1571608175.2040
MEM 149.078125 1571608175.3040
MEM 149.078125 1571608175.4040
MEM 149.078125 1571608175.5050
MEM 149.078125 1571608175.6050
MEM 149.078125 1571608175.7050
MEM 149.078125 1571608175.8050
MEM 149.078125 1571608175.9060
MEM 149.078125 1571608176.0060
MEM 149.078125 1571608176.1060
MEM 149.078125 1571608176.2060
MEM 149.078125 1571608176.3070
MEM 149.078125 1571608176.4070
MEM 149.078125 1571608176.5080
MEM 149.078125 1571608176.6080
MEM 149.078125 1571608176.7080
MEM 149.078125 1571608176.8090
MEM 149.078125 1571608176.9090
MEM 149.078125 1571608177.0100
MEM 149.078125 1571608177.1100
MEM 149.078125 1571608177.2110
MEM 149.078125 1571608177.3110
MEM 149.078125 1571608177.4110
MEM 149.078125 1571608177.5120
MEM 149.078125 1571608177.6120
MEM 149.078125 1571608177.7120
MEM 149.078125 1571608177.8130
MEM 149.078125 1571608177.9140
MEM 149.078125 1571608178.0140
MEM 149.078125 1571608178.1150
MEM 149.078125 1571608178.2150
MEM 149.078125 1571608178.3150
MEM 149.078125 1571608178.4160
MEM 149.078125 1571608178.5160
MEM 149.078125 1571608178.6170
MEM 149.078125 1571608178.7170
MEM 149.078125 1571608178.8170
MEM 149.078125 1571608178.9170
MEM 149.078125 1571608179.0180
MEM 149.078125 1571608179.1190
