freq,S11,S13
10000.0,-88.85529855076751,-109.0744697698517
35938.13663804626,-87.73133895693428,-97.96473047572461
129154.96650148826,-81.74591753009548,-86.84298028797988
464158.8833612782,-71.73316560766997,-75.76409132617032
1668100.537200059,-60.80205187824724,-64.67760341048549
5994842.503189409,-49.77295330562957,-53.65575866743113
21544346.900318865,-38.71176066877802,-42.840876960262584
77426368.26811278,-27.562674311185592,-32.10804382298748
278255940.2207126,-16.674843994889667,-21.74494487027275
1000000000.0,-7.662152320296427,-15.638510000510973
