S44,S42,S13,S12,S11,S43,S31,S33,S14,S22,S23,S21,S41,S24,S34,freq,S32
-87.30355995748475,-108.61758876868026,-108.61758877542896,-0.0002846100888612249,-89.65265970914754,-0.0003734786432459628,-108.61758877542056,-87.30355995681107,-108.61758876657879,-89.65268864616684,-108.61758877750086,-0.00028461008885158134,-108.61758876657859,-108.61758876867115,-0.0003734786432478915,10000.0,-108.61758877749942
-87.23336702282279,-103.35443262641748,-103.35443264875197,-0.0002848730834680758,-89.55474788116649,-0.00037373178547398477,-103.35443264875394,-87.23336701891233,-103.35443261914813,-89.55484303907254,-103.35443265595062,-0.00028487308346421844,-103.35443261914801,-103.35443262641837,-0.00037373178547591345,18329.807108324374,-103.3544326559468
-87.00584434367738,-98.09129024899951,-98.09129031885531,-0.00028575072837531176,-89.24112287040376,-0.00037457739423145696,-98.09129031885132,-87.00584431456349,-98.09129022090603,-89.24142136893988,-98.0912903466858,-0.0002857507283743474,-98.09129022090262,-98.09129024899447,-0.0003745773942353144,33598.18286283781,-98.0912903466904
-85.93994152971801,-92.82479048878123,-92.82479063244298,-0.00030693847189525733,-87.93220627196288,-0.00039795696610204736,-92.82479063243039,-85.93994131675973,-92.82479034522859,-87.93300851613589,-92.82479077512266,-0.00030693847189043556,-92.82479034522137,-92.82479048877933,-0.00039795696610108296,61584.82110660267,-92.82479077511954
-84.34050978745643,-87.5629165874137,-87.56291663654724,-0.00031535423963617804,-85.96339746780971,-0.00040648379325617355,-87.56291663654396,-84.3405084036788,-87.56291579775066,-85.96516360883712,-87.56291742325864,-0.0003153542396274988,-87.56291579774634,-87.56291658741246,-0.0004064837932542448,112883.78916846884,-87.5629174232584
-81.27343375950508,-82.30427487953247,-82.30427232633822,-0.0003464947092358577,-82.46845940366553,-0.0004388451587854425,-82.3042723263398,-81.27342832267409,-82.30427037557753,-82.47139813149192,-82.30427682017668,-0.0003464947092406795,-82.30427037558016,-82.30427487952993,-0.0004388451587854425,206913.808111479,-82.30427682017677
-77.15942283916411,-77.05186649127343,-77.05184865186858,-0.0004092515608414228,-77.98064081345746,-0.0005087975064980992,-77.05184865186662,-77.15940976505733,-77.05184526799678,-77.98480432469572,-77.0518698402893,-0.0004092515608414228,-77.05184526799482,-77.05186649127361,-0.0005087975064932772,379269.0190732254,-77.05186984028546
-72.58030535849407,-71.80679523296108,-71.80671737047278,-0.0005139681803319853,-72.9821614016994,-0.0006420753913567352,-71.8067173704788,-72.58028228854279,-71.80671293139147,-72.98754534494844,-71.80679955250491,-0.0005139681803281278,-71.80671293139228,-71.80679523296305,-0.0006420753913596283,695192.7961775606,-71.80679955250314
-67.84577614117903,-66.59574764541313,-66.59547243613787,-0.0006820461965816498,-67.70825885060073,-0.0008443897610973151,-66.59547243613746,-67.84574380628341,-66.59546771242293,-67.71464247141073,-66.59575196186852,-0.0006820461965951514,-66.59546771242361,-66.59574764541348,-0.0008443897611031016,1274274.985703132,-66.59575196186755
-62.99739469932503,-61.435042954661824,-61.43427204512332,-0.0009583337079744503,-62.27429726393757,-0.0010807684179809673,-61.434272045120586,-62.99735741718783,-61.43426784149006,-62.28140467909177,-61.4350457730236,-0.0009583337079840948,-61.43426784148695,-61.43504295466116,-0.0010807684179713229,2335721.4690901213,-61.435045773024406
-57.99680724148069,-56.290355066292165,-56.28881326705163,-0.0013547592027737898,-56.7880220524026,-0.0013442518526944527,-56.2888132670517,-57.99676847135221,-56.28880944049791,-56.79592616840069,-56.29035418972783,-0.0013547592027747543,-56.288809440497936,-56.290355066291895,-0.0013442518526963817,4281332.3987193955,-56.290354189728056
-52.87469688277196,-51.117677739474665,-51.115497491410764,-0.0018210254073381066,-51.35539691919754,-0.0016558874839723472,-51.115497491409,-52.87465988986381,-51.115491061719844,-51.3646651718631,-51.11766825708922,-0.0018210254073554681,-51.115491061718046,-51.117677739473,-0.001655887483974276,7847599.703514607,-51.11766825709091
-47.67433188024826,-45.901734093053946,-45.899654480241374,-0.002479811408151255,-46.00454082287311,-0.002172177521322309,-45.899654480241026,-47.67430475512203,-45.89963494807748,-46.01711288819015,-45.901699981209546,-0.002479811408154149,-45.89963494807712,-45.90173409305354,-0.002172177521314592,14384498.882876629,-45.90169998120993
-42.436354998135926,-40.65769538696535,-40.65791330115282,-0.0038184774136430554,-40.699953107771336,-0.0033101465837364736,-40.657913301153144,-42.43636897943926,-40.65784723825465,-40.72135759811667,-40.65758098783735,-0.0038184774136343727,-40.657847238255,-40.65769538696567,-0.003310146583735509,26366508.987303555,-40.65758098783702
-37.180199524094064,-35.39515276806879,-35.40503530600237,-0.007293218196269762,-35.409506107023724,-0.006342420972053919,-35.40503530600256,-37.18036595665565,-35.40481206426164,-35.456797831695475,-35.394769905731486,-0.007293218196257216,-35.404812064262124,-35.39515276806889,-0.006342420972045233,48329302.38571752,-35.394769905730804
